,model_name,hyperparameters,mse_train,mse_test,mae_train,mae_test,metric_validation,r2_train,r2_test
0,linear_model,,1094.64317375281,2423.1505842564657,24.80714797366523,37.40123109783344,,0.3347838326367768,-0.14827808701306444
1,lasso_linear_model,{'lasso_alpha': 98.88610889076087},1428.1104268279137,2702.390016634719,28.834146653207647,40.07118911889095,-1744.7180213107358,0.1321353227381027,-0.28060354929064024
2,ridge_linear_model,{'ridge_alpha': 44.991213353494935},1190.4327853154289,2350.060060492748,25.950927608074156,36.225015881416816,-2108.8739030114143,0.27657235349472853,-0.11364208570490075
3,decision_tree_model,"{'max_depth': 5, 'min_samples_split': 19, 'min_samples_leaf': 15, 'ccp_alpha': 124.27096198092198}",1395.7205408118455,2748.9846902730383,27.920672564150824,40.633278069448274,0.07522777831036624,0.1518187011700648,-0.30268374647608454
4,lightgbm_model,"{'lambda_l1': 4.797830642009625e-09, 'lambda_l2': 1.1138542977925447e-18, 'num_leaves': 100000, 'num_boost_round': 9, 'min_data_in_leaf': 0, 'max_depth': 3, 'learning_rate': 0.44552833992883184}",359.1447015579755,2399.1556117803552,13.564623168060214,38.773478287189036,1414.291620792067,0.7817472692218561,-0.13690739413420916
4,poisson_regression_model,{'alpha_pr': 41.7022004702574},1645.5450535601765,2674.3645979970265,32.38185255198486,41.79925994449585,-1657.2446749827184,-4.440892098500626e-16,-0.26732291608933867
